Time,Heart Rate
14:22:41,70
14:22:51,71
14:22:56,81
14:23:01,82
14:23:06,81
14:23:11,82
14:23:16,83
14:23:31,83
14:23:41,81
14:23:46,80
14:23:56,85
14:24:01,96
14:24:11,92
14:24:16,92
14:24:21,91
14:24:26,90
14:24:36,91
14:24:41,89
14:24:46,87
14:24:51,86
14:24:56,87
14:25:01,89
14:25:06,92
14:25:11,89
14:25:16,90
14:25:21,90
14:25:26,88
14:25:31,86
14:25:36,83
14:25:41,81
14:25:46,82
14:25:51,81
14:26:01,85
14:26:06,88
14:26:11,89
14:26:16,90
14:26:21,91
14:26:26,92
14:26:36,90
14:26:41,84
14:26:46,87
14:26:51,92
14:27:01,93
14:27:06,94
14:27:16,95
14:27:21,92
14:27:26,88
14:27:31,88
14:27:46,88
14:27:56,87
14:28:01,86
14:28:06,87
14:28:13,87
14:28:18,89
14:28:23,88
14:28:38,88
14:28:43,86
14:28:48,85
14:29:03,84
14:29:08,83
14:29:13,86
14:29:18,88
14:29:23,85
14:29:28,79
14:29:33,78
14:29:48,78
14:30:03,78
14:30:13,77
14:30:18,76
14:30:28,75
14:30:33,74
14:30:38,73
14:30:43,70
14:30:48,68
14:30:53,67
14:30:58,64
14:31:08,67
14:31:13,68
14:31:23,69
14:31:30,69
14:31:45,71
14:31:50,72
14:32:00,73
14:32:10,75
14:32:15,77
14:32:20,78
14:32:25,77
14:32:30,76
14:32:40,77
14:32:45,78
14:32:50,77
14:33:00,79
14:33:10,78
14:33:15,76
14:33:30,76
14:33:45,75
14:33:55,76
14:34:05,77
14:34:10,78
14:34:15,77
14:34:25,78
14:34:35,79
14:34:40,80
14:34:45,82
14:34:50,83
14:35:05,82
14:35:10,80
14:35:20,81
14:35:25,80
14:35:40,81
14:35:45,82
14:35:55,81
14:36:00,82
14:36:05,86
14:36:10,91
14:36:15,96
14:36:20,99
14:36:25,101
14:36:30,104
14:36:35,106
14:36:50,110
14:36:55,114
14:37:00,117
14:37:05,114
14:37:10,112
14:37:15,108
