Time,Heart Rate
09:04:54,70
09:05:09,82
09:05:14,86
09:05:19,81
09:05:24,82
09:05:39,83
09:05:49,82
09:05:59,83
09:06:04,84
09:06:09,86
09:06:24,86
09:06:39,87
09:06:44,88
09:06:54,86
09:07:04,85
09:07:09,86
09:07:14,88
09:07:19,89
09:07:24,88
09:07:29,90
09:07:34,91
09:07:39,93
09:07:44,94
09:07:49,95
09:07:54,96
09:07:59,102
09:08:04,102
09:08:09,101
09:08:14,98
09:08:29,97
09:08:34,96
09:08:39,97
09:08:44,99
09:08:49,100
09:08:59,99
09:09:04,100
09:09:09,102
09:09:14,103
09:09:19,102
09:09:29,103
09:09:34,105
09:09:44,104
09:09:49,105
09:09:54,106
09:09:59,108
09:10:04,109
09:10:09,110
09:10:14,109
09:10:19,110
09:10:24,112
09:10:29,113
09:10:39,112
09:10:44,109
09:10:51,109
09:10:56,110
09:11:01,112
09:11:06,113
09:11:16,116
09:11:21,117
09:11:36,117
09:11:46,116
09:11:51,115
09:11:56,118
09:12:01,119
09:12:06,118
09:12:11,116
09:12:16,115
09:12:21,117
09:12:26,115
09:12:31,114
09:12:36,117
09:12:41,119
09:12:46,118
09:12:51,120
09:12:56,119
09:13:01,117
09:13:06,113
09:13:11,110
09:13:16,109
09:13:23,111
09:13:28,114
09:13:38,113
09:13:48,114
09:13:53,119
09:13:58,118
09:14:03,109
09:14:08,108
09:14:13,107
09:14:18,107
09:14:23,105
09:14:33,104
09:14:43,108
09:14:48,112
09:14:53,114
09:14:58,116
09:15:03,119
09:15:08,122
09:15:13,124
09:15:18,125
09:15:23,125
09:15:33,127
09:15:38,126
09:15:43,122
09:15:48,119
09:15:53,117
09:15:58,120
09:16:03,116
09:16:08,111
09:16:13,110
09:16:18,114
09:16:23,111
09:16:28,110
09:16:33,111
09:16:38,113
09:16:43,115
09:16:48,118
09:16:53,120
09:16:58,121
09:17:08,119
09:17:13,115
09:17:18,111
09:17:23,107
09:17:28,103
09:17:33,101
09:17:38,99
09:17:43,98
09:17:48,95
09:17:53,89
09:17:58,88
09:18:03,87
09:18:08,86
09:18:23,86
09:18:24,87
09:18:29,86
09:18:39,87
09:18:44,89
09:18:49,91
09:18:54,92
09:18:59,90
09:19:04,88
09:19:09,86
09:19:14,85
09:19:19,84
09:19:34,85
09:19:44,84
09:19:54,85
09:19:59,86
09:20:14,85
09:20:19,84
09:20:24,83
09:20:29,82
09:20:34,81
09:20:49,82
09:20:54,83
09:20:59,84
09:21:04,83
09:21:14,82
09:21:19,81
09:21:34,81
09:21:39,81
09:21:44,79
09:21:49,76
09:22:04,76
09:22:19,76
09:22:29,77
09:22:39,78
09:22:54,78
09:22:59,79
09:23:14,82
09:23:19,83
09:23:24,82
09:23:39,81
09:23:44,80
09:23:59,78
09:24:04,79
09:24:09,81
09:24:14,82
09:24:19,81
09:24:24,80
09:24:29,82
09:24:44,81
09:24:54,80
09:25:04,79
09:25:19,79
09:25:34,78
09:25:39,77
09:25:44,76
09:25:49,75
09:25:54,74
09:26:09,74
09:26:24,75
09:26:39,75
09:26:44,76
09:26:59,75
09:27:04,74
09:27:09,74
09:27:19,73
09:27:29,74
09:27:39,73
09:27:49,73
09:28:04,73
09:28:14,74
09:28:24,75
09:28:29,76
09:28:34,77
09:28:39,78
09:28:44,79
09:28:49,86
09:28:59,85
09:29:04,84
09:29:14,83
09:29:19,82
09:29:34,81
09:29:39,81
09:29:49,80
09:29:59,79
09:30:14,80
09:30:29,78
09:30:34,79
09:30:39,78
09:30:44,77
09:30:49,75
09:30:54,74
09:30:59,76
09:31:09,74
09:31:14,75
09:31:19,77
09:31:24,78
09:31:39,78
09:31:44,79
09:31:49,81
09:31:54,84
09:31:59,87
09:32:04,88
09:32:09,91
09:32:14,94
09:32:19,97
09:32:24,105
09:32:29,106
09:32:34,107
09:32:39,109
09:32:44,109
09:32:49,108
09:32:54,109
09:33:04,107
09:33:09,108
09:33:14,111
09:33:19,112
09:33:24,114
09:33:29,113
09:33:34,115
09:33:39,113
09:33:44,111
09:33:49,108
09:33:54,109
09:33:59,111
09:34:09,110
09:34:19,109
09:34:24,108
09:34:29,107
09:34:34,106
09:34:39,104
09:34:44,103
09:34:49,102
09:34:54,101
09:34:59,100
09:35:05,99
09:35:10,98
09:35:15,97
09:35:30,97
09:35:40,95
09:35:45,94
09:35:55,95
09:36:00,93
09:36:05,92
09:36:15,88
09:36:20,85
09:36:25,88
09:36:30,94
09:36:35,99
09:36:45,97
09:36:50,98
09:37:00,99
09:37:05,100
09:37:10,102
09:37:15,104
09:37:30,104
09:37:35,106
09:37:45,103
09:37:50,99
09:37:55,105
09:38:00,108
09:38:05,112
09:38:10,110
09:38:15,108
09:38:20,113
09:38:25,119
09:38:30,121
09:38:35,119
09:38:40,121
09:38:45,124
09:38:50,126
09:38:55,127
09:39:00,131
09:39:05,135
09:39:10,129
09:39:15,126
09:39:20,125
09:39:25,126
09:39:30,127
09:39:35,126
09:39:40,127
09:39:55,127
09:40:00,128
09:40:05,130
09:40:20,130
09:40:30,130
09:40:40,127
09:40:45,123
09:40:50,120
09:40:55,118
09:41:00,117
09:41:05,115
09:41:10,113
09:41:15,109
09:41:20,105
09:41:30,105
09:41:35,97
09:41:40,95
09:41:45,97
09:41:50,95
09:41:55,92
09:42:00,91
09:42:05,89
09:42:10,85
09:42:15,81
09:42:20,84
09:42:25,86
09:42:30,83
09:42:35,79
09:42:40,78
09:42:45,78
09:42:50,79
09:42:55,85
09:43:00,86
09:43:05,80
09:43:10,79
09:43:15,79
09:43:20,78
09:43:35,77
09:43:45,78
09:43:55,79
09:44:00,80
09:44:05,83
09:44:10,84
09:44:15,82
09:44:20,81
09:44:25,82
09:44:35,84
09:44:40,86
09:44:45,84
09:44:50,83
09:45:00,84
09:45:10,85
09:45:15,84
09:45:20,81
09:45:25,80
09:45:40,80
09:45:45,81
09:45:55,83
09:46:00,84
09:46:05,85
09:46:15,83
09:46:20,82
09:46:25,82
09:46:40,83
09:46:55,83
09:47:00,84
09:47:05,83
09:47:10,81
09:47:15,79
09:47:20,80
09:47:25,79
09:47:35,80
09:47:40,81
09:47:50,81
09:48:05,79
09:48:10,77
09:48:20,76
09:48:30,77
09:48:35,79
09:48:45,78
09:48:55,76
09:49:10,76
09:49:25,76
09:49:30,80
09:49:35,81
09:49:45,80
09:49:50,81
09:49:55,82
09:50:00,81
09:50:05,81
09:50:10,79
09:50:15,77
09:50:20,74
09:50:25,73
09:50:30,72
09:50:35,74
09:50:40,78
09:50:55,77
09:51:00,75
09:51:05,73
09:51:20,73
09:51:25,74
09:51:35,75
09:51:40,76
09:51:45,77
09:51:50,75
09:51:55,72
09:52:00,70
09:52:05,69
09:52:10,70
09:52:15,69
09:52:20,70
09:52:25,71
09:52:30,70
09:52:40,69
09:52:45,68
09:52:51,68
09:52:56,69
09:53:01,71
09:53:06,73
09:53:11,71
09:53:16,69
09:53:21,68
09:53:36,69
09:53:41,70
09:53:46,70
09:53:51,71
09:53:56,72
09:54:01,71
09:54:06,70
09:54:11,70
09:54:26,71
09:54:36,71
09:54:51,71
09:54:56,73
09:55:01,75
09:55:06,76
09:55:11,74
09:55:16,70
09:55:21,68
09:55:26,69
09:55:41,70
09:55:56,71
09:56:01,72
09:56:16,76
09:56:21,77
09:56:26,75
09:56:31,74
09:56:36,73
09:56:46,74
09:56:51,75
09:56:56,74
09:57:01,72
09:57:06,72
09:57:16,73
09:57:21,72
09:57:31,71
09:57:36,71
09:57:46,72
09:57:51,76
09:57:56,76
09:58:01,72
09:58:06,69
09:58:16,70
09:58:31,70
09:58:36,70
09:58:41,71
09:58:51,72
09:58:56,72
09:59:11,72
09:59:16,70
09:59:21,69
09:59:26,70
09:59:31,70
09:59:46,71
10:00:01,70
10:00:11,71
10:00:16,76
10:00:21,77
10:00:26,75
10:00:31,73
10:00:36,70
10:00:41,69
10:00:51,69
10:00:56,70
10:01:01,71
10:01:06,73
10:01:11,74
10:01:16,75
10:01:21,73
10:01:31,74
10:01:46,74
10:01:51,75
10:02:06,76
10:02:16,76
10:02:21,77
10:02:36,77
10:02:41,77
10:02:56,76
10:03:01,75
10:03:06,73
10:03:21,73
10:03:31,74
10:03:36,75
10:03:41,74
10:03:51,75
10:04:06,74
10:04:16,73
10:04:31,72
10:04:36,71
10:04:41,71
10:04:46,72
10:05:01,72
10:05:11,75
10:05:16,84
10:05:21,82
10:05:26,82
10:05:36,81
10:05:41,78
10:05:51,77
10:06:06,77
10:06:11,74
10:06:16,73
10:06:21,74
10:06:36,75
10:06:51,76
10:06:56,78
10:07:01,80
10:07:06,83
10:07:11,81
10:07:16,76
10:07:21,71
10:07:26,68
10:07:36,70
10:07:41,71
10:07:56,69
10:08:01,68
10:08:11,68
10:08:16,70
10:08:21,69
10:08:31,70
10:08:36,71
10:08:41,72
10:08:51,72
10:08:56,73
10:09:06,76
10:09:11,94
10:09:16,96
10:09:22,96
10:09:27,97
10:09:37,98
10:09:42,99
10:09:47,102
10:09:52,104
10:09:57,112
10:10:02,122
10:10:07,125
10:10:12,126
10:10:17,127
10:10:27,128
10:10:32,129
10:10:47,126
10:10:52,120
10:10:57,116
10:11:02,113
10:11:07,111
10:11:12,109
10:11:17,107
10:11:22,105
10:11:37,102
10:11:42,93
10:11:57,92
10:12:02,90
10:12:07,88
10:12:12,87
10:12:17,87
10:12:22,88
10:12:27,87
10:12:32,85
10:12:37,85
10:12:42,86
10:12:57,86
10:13:07,87
10:13:22,88
10:13:37,90
10:13:42,92
10:13:47,94
10:13:52,95
10:13:57,97
10:14:02,102
10:14:07,107
10:14:12,112
10:14:17,114
10:14:22,115
10:14:27,116
10:14:32,118
10:14:37,119
10:14:42,120
10:14:47,118
10:14:52,117
10:14:57,116
10:15:02,114
10:15:07,107
10:15:12,105
10:15:27,102
10:15:32,103
10:15:37,104
10:15:42,106
10:15:47,110
10:15:52,107
10:15:57,108
10:16:02,110
10:16:07,106
10:16:12,105
10:16:17,104
10:16:22,106
10:16:27,91
10:16:32,82
10:16:37,84
10:16:42,88
10:16:57,89
10:17:02,93
10:17:07,94
10:17:12,93
10:17:17,91
10:17:22,89
10:17:27,88
10:17:37,92
10:17:42,94
10:17:52,93
10:18:02,93
10:18:07,95
10:18:12,97
10:18:27,97
10:18:42,96
10:18:47,92
10:18:52,91
10:19:02,89
10:19:12,90
10:19:17,91
10:19:22,90
10:19:27,90
10:19:32,94
10:19:47,94
10:19:52,95
10:19:57,94
10:20:12,92
10:20:17,91
10:20:22,92
10:20:27,91
10:20:32,92
10:20:37,92
10:20:47,91
10:21:02,90
10:21:07,85
10:21:12,83
10:21:27,83
10:21:32,85
10:21:37,86
10:21:52,88
10:21:57,91
10:22:02,93
10:22:07,95
10:22:22,94
10:22:27,93
10:22:32,92
10:22:42,93
10:22:47,94
10:23:02,98
10:23:07,96
10:23:12,94
10:23:17,95
10:23:22,92
10:23:27,88
10:23:37,86
10:23:42,83
10:23:47,82
10:23:57,81
10:24:02,77
10:24:17,77
10:24:27,78
10:24:37,79
10:24:42,77
10:24:47,67
10:24:52,64
10:24:57,63
10:25:02,63
10:25:07,64
10:25:12,63
10:25:17,64
10:25:22,67
10:25:37,67
10:25:42,66
10:25:47,65
10:25:52,67
10:25:57,68
10:26:02,69
10:26:12,70
10:26:17,71
10:26:22,72
10:26:27,73
10:26:32,74
10:26:37,76
10:26:47,75
10:26:53,76
10:26:58,77
10:27:03,74
10:27:18,75
10:27:23,76
10:27:38,75
10:27:53,73
10:27:58,72
10:28:03,71
10:28:08,72
10:28:13,74
10:28:18,75
10:28:23,78
10:28:28,76
10:28:33,75
10:28:38,74
10:28:53,75
10:28:58,76
10:29:03,76
10:29:13,77
10:29:23,78
10:29:38,78
10:29:43,77
10:29:53,76
10:30:03,75
10:30:13,74
10:30:28,74
10:30:33,74
10:30:48,74
10:30:53,73
10:30:58,71
10:31:03,69
10:31:08,68
10:31:13,69
10:31:23,68
10:31:28,68
10:31:33,67
10:31:38,67
10:31:43,68
10:31:48,69
10:31:53,70
10:31:58,71
10:32:08,76
10:32:13,84
10:32:18,80
10:32:23,73
10:32:28,69
10:32:38,71
10:32:43,70
10:32:58,69
10:33:03,70
10:33:08,72
10:33:18,71
10:33:23,71
10:33:33,70
10:33:38,71
10:33:53,71
10:33:58,71
10:34:03,72
10:34:08,73
10:34:18,74
10:34:23,77
10:34:28,78
10:34:33,80
10:34:43,78
10:34:48,76
10:34:53,75
10:34:58,74
10:35:13,75
10:35:18,76
10:35:33,76
10:35:38,75
10:35:53,75
10:35:58,76
10:36:03,81
10:36:08,80
10:36:13,77
10:36:18,74
10:36:33,74
10:36:43,73
10:36:48,73
10:37:03,73
10:37:18,73
10:37:33,72
10:37:38,73
10:37:43,72
10:37:53,73
10:37:58,74
10:38:03,72
10:38:18,72
10:38:33,73
10:38:48,73
10:39:03,73
10:39:08,75
10:39:13,76
10:39:18,77
10:39:33,80
10:39:38,84
10:39:43,84
10:39:48,83
10:39:58,82
10:40:03,80
10:40:13,79
10:40:23,80
10:40:28,81
10:40:33,82
10:40:43,81
10:40:48,81
10:41:03,82
10:41:08,81
10:41:13,80
10:41:28,79
10:41:33,79
10:41:43,80
10:41:48,81
10:41:53,80
10:41:58,79
10:42:03,78
10:42:08,76
10:42:18,77
10:42:23,79
10:42:28,80
10:42:38,81
10:42:53,81
10:42:58,80
10:43:08,79
10:43:13,78
10:43:18,78
10:43:23,78
10:43:28,78
10:43:33,79
10:43:38,78
10:43:43,78
10:43:58,78
10:43:59,78
10:44:04,79
10:44:14,76
10:44:19,74
10:44:29,75
10:44:44,75
10:44:59,75
10:45:09,76
10:45:24,76
10:45:29,75
10:45:44,76
10:45:49,75
10:45:59,76
10:46:04,75
10:46:09,74
10:46:14,75
10:46:19,79
10:46:24,79
10:46:39,79
10:46:44,80
10:46:49,79
10:46:59,78
10:47:14,78
10:47:24,79
10:47:29,80
10:47:34,81
10:47:39,83
10:47:44,80
10:47:54,80
10:47:59,82
10:48:14,82
10:48:24,83
10:48:39,81
10:48:49,80
10:49:04,80
10:49:14,78
10:49:29,79
10:49:44,79
10:49:49,76
10:49:54,75
10:49:59,71
10:50:09,72
10:50:14,74
10:50:19,74
10:50:29,75
10:50:34,76
10:50:39,74
10:50:44,73
10:50:49,72
10:50:54,71
10:50:59,72
10:51:14,72
10:51:19,73
10:51:29,74
10:51:34,84
10:51:39,90
10:51:44,88
10:51:49,87
10:51:54,86
10:51:59,84
10:52:04,80
10:52:09,79
10:52:14,78
10:52:29,77
10:52:39,76
10:52:44,74
10:52:49,72
10:52:59,73
10:53:14,72
10:53:24,71
10:53:29,72
10:53:34,71
10:53:49,73
10:54:04,72
10:54:09,71
10:54:19,72
10:54:24,73
10:54:29,74
10:54:34,75
10:54:39,76
10:54:44,78
10:54:49,79
10:54:54,80
10:54:59,84
10:55:14,84
10:55:19,83
10:55:24,80
10:55:34,81
10:55:49,81
10:56:04,79
10:56:09,78
10:56:14,78
10:56:19,77
10:56:29,78
10:56:44,78
10:56:49,76
10:56:54,78
10:56:59,81
10:57:04,82
10:57:09,83
10:57:19,82
10:57:24,82
10:57:29,82
10:57:34,81
10:57:39,79
10:57:44,78
10:57:49,77
10:57:54,74
10:57:59,73
10:58:04,74
10:58:14,73
10:58:24,72
10:58:39,74
10:58:49,75
10:58:54,77
10:59:04,76
10:59:14,75
10:59:19,74
10:59:24,75
10:59:29,76
10:59:34,78
10:59:39,81
10:59:44,81
10:59:54,83
10:59:59,82
11:00:04,81
11:00:19,81
11:01:20,76
11:01:30,77
11:01:35,76
11:01:50,77
11:01:55,78
11:02:00,79
11:02:05,86
11:02:10,86
11:02:20,85
11:02:25,84
11:02:35,83
11:02:40,82
11:02:45,80
11:02:50,77
11:03:05,77
11:03:10,76
11:03:15,75
11:03:25,75
11:03:40,75
11:03:50,74
11:03:55,73
11:04:05,72
11:04:10,71
11:04:15,69
11:04:25,68
11:04:30,67
11:04:35,70
11:04:40,83
11:04:45,85
11:04:55,83
11:05:05,82
11:05:15,81
11:05:20,79
11:05:25,76
11:05:30,74
11:05:45,72
11:05:55,73
11:06:10,72
11:06:25,73
11:06:35,75
11:06:40,76
11:06:55,77
11:07:05,78
11:07:10,80
11:07:15,79
11:07:20,80
11:07:25,82
11:07:30,84
11:07:45,84
11:07:55,86
11:08:00,87
11:08:05,87
11:08:10,86
11:08:15,84
11:08:20,79
11:08:25,78
11:08:35,77
11:08:40,76
11:08:45,75
11:08:50,74
11:08:55,72
11:09:10,73
11:09:15,74
11:09:25,76
11:09:35,78
11:09:45,77
11:09:50,76
11:09:55,75
11:10:10,75
11:10:20,74
11:10:30,76
11:10:35,77
11:10:40,76
11:10:45,75
11:10:55,74
11:11:10,73
11:11:15,72
11:11:30,73
11:11:40,74
11:11:45,73
11:11:50,72
11:11:55,71
11:12:00,71
11:12:05,74
