Time,Heart Rate
00:00:02,62
00:00:07,63
00:00:17,65
00:00:32,64
00:00:37,62
00:00:42,61
00:00:47,59
00:01:02,60
00:01:07,61
00:01:12,62
00:01:17,60
00:01:22,59
00:01:32,60
00:01:47,60
00:01:57,62
00:02:02,65
00:02:12,63
00:02:17,61
00:02:22,60
00:02:27,59
00:02:42,59
00:02:47,60
00:02:57,59
00:03:02,59
00:03:17,59
00:03:27,60
00:03:42,60
00:03:47,58
00:03:57,58
00:04:02,59
00:04:17,59
00:04:22,63
00:04:27,66
00:04:32,64
00:04:37,62
00:04:42,61
00:04:57,61
00:05:07,60
00:05:12,60
00:05:17,60
00:05:27,61
00:05:32,62
00:05:37,61
00:05:47,62
00:05:57,60
00:06:02,59
00:06:12,58
00:06:22,58
00:06:32,57
00:06:37,56
00:06:42,56
00:06:52,57
00:07:02,59
00:07:07,61
00:07:12,62
00:07:17,63
00:07:32,63
00:07:47,64
00:07:48,64
00:07:53,64
00:07:58,64
00:08:13,64
00:08:23,63
00:08:28,62
00:08:33,61
00:08:48,61
00:08:58,62
00:09:03,64
00:09:18,64
00:09:28,65
00:09:43,63
00:09:53,63
00:09:58,61
00:10:08,60
00:10:13,62
00:10:18,63
00:10:23,63
00:10:28,64
00:10:33,63
00:10:43,64
00:10:58,64
00:11:03,61
00:11:13,62
00:11:28,63
00:11:33,64
00:11:38,64
00:11:53,64
00:12:03,67
00:12:08,68
00:12:18,71
00:12:23,73
00:12:38,72
00:12:48,71
00:12:53,70
00:13:03,69
00:13:08,68
00:13:23,68
00:13:33,69
00:13:43,68
00:13:48,69
00:13:53,68
00:13:58,67
00:14:03,65
00:14:08,63
00:14:13,64
00:14:18,70
00:14:23,71
00:14:28,72
00:14:38,71
00:14:48,68
00:14:53,65
00:14:58,64
00:15:03,64
00:15:08,64
00:15:18,64
00:15:23,65
00:15:28,66
00:15:33,65
00:15:48,65
00:16:03,65
00:16:08,64
00:16:13,65
00:16:18,67
00:16:23,67
00:16:33,66
00:16:48,67
00:16:58,68
00:17:03,69
00:17:18,67
00:17:23,65
00:17:38,66
00:17:43,67
00:17:53,67
00:18:08,67
00:18:23,67
00:18:28,68
00:18:33,67
00:18:43,68
00:18:58,70
00:19:03,72
00:19:18,73
00:19:23,74
00:19:33,75
00:19:43,79
00:19:48,82
00:19:53,87
00:19:58,90
00:20:03,95
00:20:08,100
00:20:13,101
00:20:18,103
00:20:23,105
00:20:28,110
00:20:43,111
00:20:48,114
00:20:53,118
00:20:58,119
00:21:03,118
00:21:08,115
00:21:23,112
00:21:28,111
00:21:33,108
00:21:38,105
00:21:43,106
00:21:48,107
00:21:53,104
00:21:58,106
00:22:03,102
00:22:08,98
00:22:13,99
00:22:28,99
00:22:33,98
00:22:48,96
00:22:53,97
00:23:03,96
00:23:08,95
00:23:18,94
00:23:23,95
00:23:28,90
00:23:38,91
00:23:43,93
00:23:48,97
00:23:53,99
00:23:58,98
00:24:03,97
00:24:08,96
00:24:18,93
00:24:23,92
00:24:28,91
00:24:33,90
00:24:38,85
